0,0
0.0276715,0.168707
0.0547056,0.338399
0.0940634,0.594856
0.150598,0.984911
0.230382,1.58585
0.268634,1.89784
0.0878046,0.189811
0.184437,0.522357
0.39099,3.02922
0.364536,1.80768
0.155514,0.344862
0.141927,0.307689
0.376013,2.27826
0.431571,3.451
0.483145,4.02907
0.529918,4.6011
0.574583,5.19214
0.639025,6.1311
0.560176,1.73832
0.479239,1.32802
0.415468,1.09196
0.347766,0.867101
0.275608,0.651975
0.198538,0.445824
0.115881,0.247236
0.0267137,0.0542245
0.0657592,0.136431
0.151596,0.330749
0.231494,0.531599
0.306274,0.740913
0.376478,0.959858
0.442482,1.18902
0.504593,1.42918
0.562629,1.75415
0.618154,3.89932
0.652806,6.36648
0.672677,6.66602
0.688736,6.93307
0.704935,7.21049
0.721839,7.5089
0.737695,7.79737
0.761192,8.24063
0.795414,8.92181
0.795817,8.93049
